year,id,lnCI,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,Carbon-peaking pressure,EI,CI_ratio,d1,d2
year	id	lnCI	education	major	tenure	age	hometown	Structure	Open	TI	PGDP2	PGDP	Fixed	FD	UR	pilot	rank	turnover	Carbon-peaking pressure	EI	CI_ratio	d1	d2

2000,1,10,0,125,10,102,10,12,0,78,0,0,0,0,,,0,1
2001,1,10,0,110,11,102,10,12,0,78,0,0,0,0,,0,0,1
2002,1,10,0,96,11,103,10,12,0,79,0,0,1,0,,0,0,0
2003,1,10,0,108,11,104,10,12,0,79,0,0,0,0,,0,0,0
2004,1,10,0,125,11,104,10,12,0,80,0,0,0,0,,0,0,0
2005,1,10,0,142,11,105,10,12,0,84,0,0,0,0,,0,0,0
2006,1,10,0,147,11,105,10,12,0,85,0,0,0,0,3689,0,0,1
2007,1,10,0,135,11,106,10,12,0,85,0,0,0,0,3932,0,0,1
2008,1,10,0,157,12,107,10,12,0,85,0,0,0,0,4403,0,0,1
2009,1,10,0,114,12,107,10,12,0,85,0,0,0,0,4897,0,0,0
2010,1,10,0,134,13,107,10,12,0,86,0,0,0,0,4888,0,0,0
2011,1,10,0,143,13,108,10,12,0,86,0,0,0,0,4794,0,0,1
2012,1,10,0,135,13,109,10,12,0,86,0,0,1,0,5397,0,0,0
2013,1,10,0,124,13,109,10,12,1,86,1,0,0,0,5549,0,0,1
2014,1,10,0,111,13,109,10,12,1,87,1,0,0,0,6014,0,0,1
2015,1,10,0,84,14,109,10,12,1,87,1,0,0,0,6877,0,0,1
2016,1,10,0,72,14,109,10,12,1,87,1,0,0,0,7468,0,0,0
2017,1,9,0,71,13,110,10,12,1,87,1,0,1,0,7386,0,0,0
2018,1,9,0,86,13,110,11,12,1,87,1,0,0,0,8019,0,0,1
2019,1,9,0,82,13,110,11,12,0,87,1,0,0,0,8011,0,0,1
2000,2,11,0,102,9,92,10,11,0,59,0,1,0,0,,,0,0
2001,2,11,0,111,9,93,10,11,0,59,0,1,0,0,,0,1,1
2002,2,11,0,122,10,92,10,11,0,59,0,1,0,0,,0,0,0
2003,2,11,1,126,10,93,10,11,0,59,0,0,0,0,,0,1,1
2004,2,11,1,133,10,93,10,11,0,60,0,0,0,0,,0,1,0
2005,2,11,1,136,10,95,10,11,0,76,0,0,0,0,,0,1,0
2006,2,11,1,143,10,94,10,11,0,76,0,0,0,0,4504,0,0,0
2007,2,11,1,126,11,95,10,11,0,76,0,0,1,0,4836,0,1,1
2008,2,11,1,106,11,97,10,12,0,77,0,0,0,0,4682,0,0,0
2009,2,11,0,76,11,96,10,12,0,78,0,0,0,0,5126,0,1,1
2010,2,11,0,80,12,96,10,12,0,80,1,0,0,0,5796,0,1,0
2011,2,11,0,80,12,97,10,12,0,80,1,0,0,0,5736,0,1,1
2012,2,11,0,80,12,97,10,12,0,82,1,0,1,0,6500,0,1,1
2013,2,11,0,79,13,97,10,12,0,82,1,0,0,0,7023,0,1,0
2014,2,11,0,77,13,97,10,12,0,83,1,0,1,0,7314,0,1,0
2015,2,11,0,68,13,96,10,12,0,83,1,0,0,0,7670,0,1,1
2016,2,11,0,62,13,95,10,12,0,83,1,0,1,0,8009,0,1,0
2017,2,11,0,59,12,96,10,12,0,84,1,0,0,0,8269,0,1,1
2018,2,11,0,63,12,96,10,12,0,84,1,0,0,0,8846,0,1,1
2019,2,11,0,53,12,96,10,12,0,84,1,0,0,0,9152,0,1,1
2000,3,11,0,7,7,83,9,10,0,35,0,1,0,0,,,0,0
2001,3,11,0,7,7,83,9,10,0,36,0,1,1,0,,0,0,1
2002,3,11,0,8,7,83,9,10,0,38,0,1,0,0,,0,0,0
2003,3,11,1,11,7,83,9,10,0,40,0,1,0,0,,0,0,1
2004,3,11,1,20,7,83,9,11,0,41,0,1,0,0,,0,0,0
2005,3,11,1,21,7,82,9,11,0,43,0,1,0,0,,0,1,1
2006,3,11,1,17,7,82,9,11,0,44,0,1,1,0,2073,0,1,1
2007,3,11,1,17,7,83,9,11,0,45,0,1,0,0,2100,0,1,0
2008,3,11,1,18,8,84,9,11,0,47,0,1,1,0,1913,0,1,0
2009,3,11,0,13,8,84,9,11,0,49,0,1,0,0,1886,0,1,1
2010,3,11,0,21,8,84,9,11,0,51,0,1,1,0,1977,0,1,0
2011,3,12,0,22,8,85,9,11,0,52,0,1,0,0,2143,0,1,0
2012,3,12,0,18,8,85,9,11,0,53,0,1,0,0,2168,0,1,1
2013,3,12,0,17,8,85,9,11,0,56,1,1,0,0,2362,0,1,1
2014,3,12,0,17,9,84,9,11,0,56,1,1,0,0,3381,0,1,1
2015,3,12,0,14,9,83,9,12,0,58,1,1,0,0,4418,0,1,0
2016,3,11,0,14,9,83,9,11,0,60,1,1,1,0,5874,0,1,1
2017,3,12,0,13,9,82,9,11,0,62,1,1,0,0,7883,0,1,0
2018,3,12,0,18,10,78,9,11,0,63,1,1,0,0,9014,0,1,1
2019,3,12,0,19,10,78,9,11,0,64,1,1,0,0,10765,0,1,0
2000,4,11,1,4,6,86,9,9,0,35,0,1,0,0,,,0,0
2001,4,11,1,4,6,86,9,9,0,40,0,1,0,0,,0,0,0
2002,4,11,1,6,6,86,9,10,0,41,0,1,1,0,,0,0,0
2003,4,11,1,7,6,86,9,10,0,40,0,1,0,0,,0,0,1
2004,4,11,1,9,6,88,9,10,0,44,0,1,0,0,,0,0,1
2005,4,11,1,11,6,89,9,10,0,46,0,1,0,0,,0,0,1
2006,4,11,1,12,7,89,9,10,0,48,0,1,1,0,4013,0,1,1
2007,4,11,1,14,7,90,9,10,0,50,0,1,0,0,4924,0,0,0
2008,4,11,1,18,7,92,10,11,0,51,0,1,0,0,4761,0,0,0
2009,4,11,1,11,7,91,10,11,0,53,0,1,0,0,5753,0,0,1
2010,4,11,1,14,7,92,10,11,0,51,0,1,1,0,6282,0,0,0
2011,4,11,1,13,8,93,10,11,0,52,0,1,0,0,5859,0,1,1
2012,4,11,1,11,8,93,10,11,0,54,0,1,0,0,6349,0,1,1
2013,4,11,1,13,8,92,10,11,0,55,0,1,1,0,7110,0,1,0
2014,4,12,1,16,8,91,10,11,0,56,0,1,1,0,7004,0,1,0
2015,4,12,1,18,8,87,9,11,0,58,0,1,0,0,8223,0,1,1
2016,4,12,1,13,8,87,9,11,0,60,0,1,0,0,5771,0,1,0
2017,4,12,1,11,9,87,9,11,0,62,0,1,1,0,12506,0,1,0
2018,4,12,1,10,9,87,9,11,0,63,0,1,0,0,13075,0,1,1
2019,4,12,1,11,9,87,9,11,0,64,0,1,1,0,13762,0,1,0
2000,5,11,0,23,5,79,9,9,0,32,0,1,0,0,,,0,0
2001,5,11,0,20,5,80,9,9,0,34,0,1,0,0,,0,0,1
2002,5,11,0,22,6,80,9,9,0,36,0,1,1,0,,0,0,1
2003,5,11,0,41,6,81,9,9,0,38,0,1,0,0,,0,0,0
2004,5,11,0,45,6,82,9,9,0,40,0,1,0,0,,0,0,1
2005,5,11,0,50,6,81,9,9,0,41,0,1,0,0,,0,0,0
2006,5,11,0,44,6,82,9,9,0,43,0,1,1,0,3397,0,1,1
2007,5,11,0,42,6,84,9,9,0,45,0,1,0,0,3277,0,1,0
2008,5,11,0,47,6,85,9,9,0,46,0,1,0,0,3335,0,0,0
2009,5,11,0,29,7,85,9,10,0,47,0,1,0,0,3351,0,1,1
2010,5,11,0,26,7,86,9,10,0,47,0,1,0,0,2520,0,1,0
2011,5,12,0,27,7,86,9,10,0,48,0,1,0,0,2796,0,1,0
2012,5,12,0,26,7,86,9,10,0,50,0,1,0,0,3209,0,1,0
2013,5,12,0,24,7,85,9,10,0,51,1,1,1,0,4044,0,1,0
2014,5,12,0,23,7,84,9,10,0,52,1,1,0,0,5016,0,1,1
2015,5,12,0,25,8,84,9,10,0,54,1,1,1,0,5838,0,1,0
2016,5,12,0,24,8,83,9,10,0,56,1,1,0,0,6459,0,1,1
2017,5,12,0,23,8,84,9,10,0,58,1,1,0,0,9151,0,1,0
2018,5,12,0,24,8,84,9,10,0,59,1,1,0,0,9423,0,1,0
2019,5,12,0,23,9,84,9,10,0,61,1,1,1,0,10058,0,1,1
2000,6,11,0,8,6,74,9,10,0,24,0,1,0,0,,,0,1
2001,6,11,0,7,6,74,9,9,0,27,0,1,0,0,,0,0,0
2002,6,11,0,7,6,74,9,9,0,30,0,1,0,0,,0,0,0
2003,6,11,1,7,6,74,9,10,0,33,0,1,1,0,,0,0,0
2004,6,11,1,6,6,76,9,10,0,36,0,1,1,0,,0,0,1
2005,6,11,1,7,6,75,9,10,0,38,0,1,0,0,,0,1,0
2006,6,11,1,6,6,76,9,10,0,39,0,1,1,0,1978,0,1,1
2007,6,11,1,8,6,77,9,10,0,41,0,1,0,0,1242,0,1,1
2008,6,12,1,11,6,77,9,10,0,43,0,1,1,0,1204,0,0,0
2009,6,12,1,9,7,76,9,11,0,45,0,1,0,0,1529,0,0,0
2010,6,12,1,9,7,76,9,11,0,45,0,1,0,0,1593,0,1,1
2011,6,12,1,9,7,77,9,11,0,47,0,1,1,0,1260,0,1,1
2012,6,12,1,8,7,76,9,11,0,47,0,1,0,0,1885,0,1,0
2013,6,12,1,7,7,75,9,11,0,48,0,1,1,0,3809,0,1,1
2014,6,12,1,7,8,74,9,11,0,49,0,1,0,0,3952,0,1,1
2015,6,12,0,6,8,73,9,11,0,51,0,1,0,0,4200,0,1,0
2016,6,12,0,5,8,73,9,11,0,54,0,1,0,0,4966,0,1,1
2017,6,12,0,4,8,72,8,11,0,55,0,1,0,0,10397,0,1,1
2018,6,12,0,4,9,71,8,11,0,57,0,1,0,0,11933,0,1,0
2019,6,12,0,5,9,70,8,11,0,58,0,1,0,0,13408,0,1,0
2000,7,11,1,6,5,71,8,8,0,24,0,1,1,0,,,0,1
2001,7,11,1,7,5,71,8,8,0,26,0,1,0,0,,0,0,0
2002,7,11,1,7,5,71,8,9,0,28,0,1,1,0,,0,0,1
2003,7,11,1,7,5,72,8,9,0,30,0,1,0,0,,0,0,1
2004,7,11,1,7,6,73,9,10,0,32,0,1,0,0,,0,0,0
