year,citycode,lnCI,education,major,tenure,age,hometown,Structure,Open,TI,PGDP2,PGDP,Fixed,FD,UR,pilot,rank,turnover,pressure,EI,CI_ratio,d1,d2
2000,110000,9.7565937,2,2,3,61,0,0.31231314,124.76097,10.388934,101.5604202,10.077719,11.555599,0.38507289,77.545,0,0,0,0,,,0,1
2001,110000,9.6728811,3,2,4,61,0,0.29190728,110.37914,10.514339,102.349359,10.116786,11.60929,0.46798536,78.059,0,0,0,0,,0,0,1
2002,110000,9.712635,2,2,1,60,0,0.27290806,96.029793,10.605941,103.0542516,10.151564,11.667853,0.46298769,78.555,0,0,1,0,,0,0,0
2003,110000,9.8024492,2,2,2,61,0,0.27650365,107.63885,10.829768,103.7767823,10.187089,11.735659,0.47001329,79.050137,0,0,0,0,,0,0,0
2004,110000,9.8418217,2,2,3,61,0,0.28367853,125.19088,10.911701,104.479144,10.221504,11.769571,0.47377503,79.529806,0,0,0,0,,0,0,0
2005,110000,9.9332275,2,2,4,61,0,0.26677668,141.66298,11.08742,104.5386212,10.224413,11.76532,0.47419089,84.330299,0,0,0,0,,0,0,0
2006,110000,10.00315,2,2,5,61,0,0.24706092,147.13969,11.233027,105.0492369,10.249353,11.820932,0.48009136,84.500312,0,0,0,0,3689,0,0,1
2007,110000,9.9432068,2,2,6,61,0,0.23149009,135.22479,11.443233,106.4893766,10.319369,11.848953,0.48751265,84.5,0,0,0,0,3932,0,0,1
2008,110000,9.9262609,2,2,7,61,0,0.21388966,157.19093,11.715948,107.0098595,10.344557,11.73255,0.48975912,84.900056,0,0,0,0,4403,0,0,1
2009,110000,10.033142,2,2,8,61,0,0.21210924,113.68479,11.89351,106.5950938,10.32449,11.870265,0.49204928,85,0,0,0,0,4897,0,0,0
2010,110000,10.034257,2,2,9,61,0,0.21605854,133.5079,12.58123,107.4190047,10.364314,11.842788,0.49836183,85.960039,0,0,0,0,4888,0,0,0
2011,110000,9.8547316,2,2,10,61,0,0.2073036,142.80952,12.862156,108.3511115,10.409184,11.889477,0.49949852,86.200099,0,0,0,0,4794,0,0,1
2012,110000,9.859724,2,2,11,61,0,0.20268388,134.83308,13.037833,108.6027434,10.421264,11.904613,0.49923921,86.290183,0,0,1,0,5397,0,0,0
2013,110000,9.6026354,2,2,2,61,0,0.19722635,124.02939,13.312163,108.9491719,10.437872,11.91487,0.50136042,86.390118,1,0,0,0,5549,0,0,1
2014,110000,9.6099148,2,2,3,61,0,0.19336125,110.90804,13.441204,108.8878685,10.434935,11.916156,0.50225389,86.50023,1,0,0,0,6014,0,0,1
2015,110000,9.5368853,2,2,4,61,0,0.17836806,83.706055,13.589874,108.9336826,10.43713,11.90456,0.51019669,86.709781,1,0,0,0,6877,0,0,1
2016,110000,9.5746756,2,2,5,61,0,0.17254412,72.440041,13.752379,109.0916536,10.444695,11.895083,0.51195687,86.759909,1,0,0,0,7468,0,0,0
2017,110000,9.4254293,3,1,1,61,0,0.16897233,70.784561,13.079046,109.8629743,10.481554,11.885187,0.51176828,86.929809,1,0,1,0,7386,0,0,0
2018,110000,9.2577562,3,1,2,61,0,0.16545036,85.500031,13.210228,110.3968178,10.506989,11.716085,0.50953978,87.089872,1,0,0,0,8019,0,0,1
2019,110000,9.0991039,3,1,3,61,0,0.15989234,81.930214,13.277557,110.2595342,10.500454,11.632582,0.49797091,87.350228,1,0,0,0,8011,0,0,1
2000,120000,10.613796,0,1,3,61,0,0.49931833,101.84776,9.0825071,92.43607973,9.6143684,10.86379,0.39156094,58.56078,0,1,0,0,,,0,0
2001,120000,10.569133,0,1,4,61,0,0.48879555,111.05607,9.1921768,92.5286181,9.6191797,10.918858,0.39758107,58.830497,0,1,0,0,,0,1,1
2002,120000,10.649958,0,1,5,61,0,0.48340574,121.5495,9.5731764,92.33079586,9.6088915,10.961999,0.40563783,59.100214,0,1,0,0,,0,0,0
2003,120000,10.746116,0,1,6,61,0,0.50385559,126.04424,9.8327427,93.00353615,9.6438341,11.100822,0.39930514,59.369931,0,0,0,0,,0,1,1
2004,120000,10.813602,0,1,7,61,0,0.5143947,132.68256,9.9973421,93.28643294,9.6584902,11.157951,0.40068221,59.639648,0,0,0,0,,0,1,0
2005,120000,10.876883,0,1,8,61,0,0.5162192,136.40244,10.288886,94.53069306,9.7226896,11.229165,0.40050548,75.730195,0,0,0,0,,0,1,0
2006,120000,10.991463,0,1,9,61,0,0.51849818,142.51112,10.4607,94.35521391,9.7136612,11.315239,0.40665483,76.309767,0,0,0,0,4504,0,0,0
2007,120000,10.995983,1,1,1,61,0,0.51068318,125.68331,10.660923,94.9458595,9.7440166,11.450429,0.41187835,76.310314,0,0,1,0,4836,0,1,1
2008,120000,10.959001,1,1,2,61,0,0.51321679,106.21487,10.820578,96.54283983,9.8256216,11.676288,0.41631922,77.229592,0,0,0,0,4682,0,0,0
2009,120000,11.086133,1,1,3,61,0,0.49193546,76.472214,10.897776,95.68665732,9.7819557,11.932732,0.42243153,78.010194,0,0,0,0,5126,0,1,1
2010,120000,11.131054,1,1,4,61,0,0.47721484,79.697006,11.725178,96.46403281,9.8216105,12.061051,0.4301987,79.55037,1,0,0,0,5796,0,1,0
2011,120000,11.195015,1,1,5,61,0,0.46302068,80.302742,12.095431,97.14047186,9.8559866,12.077923,0.43619499,80.430276,1,0,0,0,5736,0,1,1
2012,120000,11.218833,1,1,6,61,0,0.45715147,80.365677,12.203479,97.23509068,9.8607855,12.137376,0.44192579,81.550073,1,0,1,0,6500,0,1,1
